timestamp,symbol,toSymbol,close,high,low,open,volumeFrom,volumeTo
1537056000000,BTC,USD,6502.44,6525.05,6404.31,6522.68,30897.54,200545603.1
1537142400000,BTC,USD,6261.48,6538.82,6216.83,6502.44,62738.57,399675966.34
1537228800000,BTC,USD,6346.44,6393.39,6238.25,6261.33,55076.95,348485895.37
1537315200000,BTC,USD,6398.8,6522.9,6131.02,6346.44,71293.01,452379323.08
1537401600000,BTC,USD,6505.9,6551.93,6361.33,6398.83,46802.06,301619960.91
1537488000000,BTC,USD,6762.06,6785.22,6501.01,6505.97,85295.46,569642976.25
1537574400000,BTC,USD,6716.6,6834.49,6633.01,6762.07,38829.87,261159308.22
1537660800000,BTC,USD,6702.7,6768.56,6663.9,6716.6,25143.83,169080003.37
1537747200000,BTC,USD,6583.53,6717.6,6557.82,6702.73,48934.13,324660682.66
1537833600000,BTC,USD,6437.74,6583.54,6333.21,6583.53,65381.85,420279170.44
1537920000000,BTC,USD,6462.6,6543.92,6383.16,6437.74,40752.6,264402806.65
1538006400000,BTC,USD,6686.13,6733.94,6434.76,6462.6,52542.0,345096700.08
1538092800000,BTC,USD,6635.38,6806.1,6545.41,6686.13,74353.41,497340510.07
1538179200000,BTC,USD,6603.75,6635.42,6474.23,6635.4,37296.34,245055396.51
1538265600000,BTC,USD,6623.71,6741.96,6543.68,6603.75,26335.14,174302164.09
1538352000000,BTC,USD,6594.98,6662.6,6510.54,6623.82,38926.98,256959931.63
1538438400000,BTC,USD,6525.47,6618.95,6478.04,6594.98,40624.2,267166277.79
1538524800000,BTC,USD,6492.26,6537.07,6428.98,6525.46,47186.0,306385346.59
1538611200000,BTC,USD,6579.79,6622.32,6486.86,6492.61,42142.96,277614018.45
1538697600000,BTC,USD,6632.87,6683.55,6546.98,6580.0,39731.28,262562344.98
1538784000000,BTC,USD,6589.94,6637.08,6563.25,6632.88,24787.61,162722103.98
1538870400000,BTC,USD,6601.15,6622.49,6535.02,6589.94,27272.67,179378859.39
1538956800000,BTC,USD,6650.07,6698.31,6565.01,6601.46,47216.82,313507433.75
1539043200000,BTC,USD,6631.79,6657.0,6589.39,6650.07,32204.25,213976678.23
1539129600000,BTC,USD,6581.07,6633.22,6487.86,6631.79,49264.39,323664963.18
1539216000000,BTC,USD,6209.47,6581.59,6171.95,6581.07,104258.49,654924117.8
1539302400000,BTC,USD,6250.85,6296.56,6173.86,6209.47,46195.91,289840137.45
1539388800000,BTC,USD,6267.27,6280.73,6238.92,6252.1,21914.85,137705035.59
1539475200000,BTC,USD,6277.73,6346.56,6247.17,6267.27,34130.1,215422888.18
1539561600000,BTC,USD,6612.36,7234.83,6244.77,6277.73,177320.05,1190524168.21
1539648000000,BTC,USD,6583.05,6724.91,6545.54,6612.69,49191.34,324232509.78
1539734400000,BTC,USD,6574.52,6589.2,6511.6,6583.05,33538.55,220418636.64
1539820800000,BTC,USD,6488.72,6616.27,6445.05,6576.4,50725.31,331761115.45
1539907200000,BTC,USD,6469.28,6503.09,6449.36,6489.37,36599.64,237855085.41
1539993600000,BTC,USD,6490.56,6645.2,6395.45,6469.28,19543.75,127185847.78
1540080000000,BTC,USD,6509.87,6557.39,6474.47,6490.6,16019.49,105283929.06
1540166400000,BTC,USD,6483.23,6531.23,6460.38,6509.87,31239.03,202766914.4
1540252800000,BTC,USD,6470.22,6496.2,6438.99,6484.32,34071.62,220913293.6
1540339200000,BTC,USD,6476.25,6538.35,6465.73,6470.63,34111.66,222068131.83
1540425600000,BTC,USD,6462.77,6497.9,6432.3,6476.52,35706.92,231214963.95
1540512000000,BTC,USD,6457.21,6514.0,6441.81,6462.77,33284.54,215447656.36
1540598400000,BTC,USD,6470.17,6479.0,6445.95,6457.21,19092.86,124066466.34
1540684800000,BTC,USD,6470.74,6483.24,6444.74,6470.17,16806.73,109118160.99
1540771200000,BTC,USD,6313.91,6483.39,6282.58,6470.74,53760.53,342463526.52
1540857600000,BTC,USD,6309.11,6340.68,6286.3,6314.38,42701.22,269592154.08
1540944000000,BTC,USD,6342.61,6391.25,6241.49,6309.11,38823.41,245357244.49
1541030400000,BTC,USD,6381.3,6402.59,6322.6,6342.81,31397.71,199861220.45
1541116800000,BTC,USD,6394.66,6420.93,6371.57,6381.3,27987.6,179385606.7
1541203200000,BTC,USD,6376.32,6398.09,6336.96,6394.65,28808.38,183565304.27
1541289600000,BTC,USD,6467.05,6498.16,6351.92,6376.55,27317.02,175805188.92
1541376000000,BTC,USD,6433.74,6475.8,6406.69,6467.05,24142.0,155758902.3
1541462400000,BTC,USD,6479.72,6482.81,6412.56,6433.53,37162.36,239808254.25
1541548800000,BTC,USD,6529.68,6562.79,6476.59,6479.72,55100.44,360052788.55
1541635200000,BTC,USD,6446.06,6542.42,6438.27,6530.94,42073.45,273205386.68
1541721600000,BTC,USD,6377.99,6457.97,6352.45,6446.06,37086.04,237893036.71
1541808000000,BTC,USD,6396.37,6419.92,6376.17,6377.99,14658.42,94313328.59
1541894400000,BTC,USD,6408.18,6414.18,6326.38,6396.39,20337.03,130156001.58
1541980800000,BTC,USD,6375.08,6435.41,6350.87,6408.18,28338.62,181575610.86
1542067200000,BTC,USD,6339.17,6389.43,6315.58,6375.08,35761.27,227689745.72
1542153600000,BTC,USD,5741.47,6375.7,5469.93,6339.17,178422.8,1045469380.16
1542240000000,BTC,USD,5647.5,5767.06,5300.75,5740.51,147895.07,820864013.96
1542326400000,BTC,USD,5586.27,5676.54,5487.87,5647.5,71050.83,397196182.83
1542412800000,BTC,USD,5568.94,5602.01,5524.7,5586.97,29517.8,164182152.19
1542499200000,BTC,USD,5615.26,5701.35,5567.95,5567.95,41702.04,233409182.46
1542585600000,BTC,USD,4809.62,5615.98,4757.01,5615.26,207964.38,1072037780.45
1542672000000,BTC,USD,4441.81,4953.56,4168.25,4809.62,315023.21,1433400842.16
1542758400000,BTC,USD,4593.04,4689.55,4315.58,4441.81,152286.19,686284917.84
1542844800000,BTC,USD,4320.68,4640.72,4297.21,4593.04,83715.43,376852837.57
1542931200000,BTC,USD,4343.42,4419.48,4157.19,4320.68,121719.16,521825987.75
1543017600000,BTC,USD,3854.11,4432.0,3741.2,4343.42,123090.79,503028289.39
1543104000000,BTC,USD,4004.15,4165.93,3550.04,3854.11,213926.98,819869496.19
1543190400000,BTC,USD,3784.59,4124.7,3598.81,4004.46,185985.76,715341714.72
1543276800000,BTC,USD,3822.99,3878.9,3613.11,3784.77,147999.31,555212127.53
1543363200000,BTC,USD,4263.55,4398.57,3822.94,3822.99,175435.76,726808596.57
1543449600000,BTC,USD,4286.69,4444.39,4130.68,4263.52,112103.36,479575430.64
1543536000000,BTC,USD,4009.67,4331.07,3916.3,4286.85,121993.57,497762735.43
1543622400000,BTC,USD,4197.46,4309.65,3942.62,4009.67,67774.58,280927570.31
1543708800000,BTC,USD,4143.86,4318.79,4077.67,4197.7,62748.83,262154694.41
1543795200000,BTC,USD,3871.41,4159.01,3795.18,4143.86,107400.61,423985399.83
1543881600000,BTC,USD,3948.44,4082.68,3770.92,3871.41,94655.27,373361232.89
1543968000000,BTC,USD,3737.53,3961.8,3719.19,3948.44,83811.55,320944415.67
1544054400000,BTC,USD,3485.18,3883.43,3467.92,3737.53,159523.77,590923562.42
1544140800000,BTC,USD,3420.57,3576.11,3248.0,3485.18,206088.47,699930576.16
1544227200000,BTC,USD,3461.07,3602.49,3295.21,3420.57,104091.14,357548590.53
1544313600000,BTC,USD,3592.84,3718.58,3436.5,3461.07,83347.79,295321498.63
1544400000000,BTC,USD,3467.16,3645.49,3416.77,3592.84,81855.33,287119758.11
1544486400000,BTC,USD,3401.02,3483.58,3348.98,3467.16,67519.71,230671778.42
1544572800000,BTC,USD,3485.59,3545.37,3380.48,3401.02,74415.95,257293632.74
1544659200000,BTC,USD,3305.11,3493.76,3272.81,3485.59,84592.04,286236674.73
1544745600000,BTC,USD,3235.48,3333.24,3180.97,3305.11,89133.43,290985461.02
1544832000000,BTC,USD,3232.51,3271.76,3169.53,3235.48,51317.37,165378769.6
1544918400000,BTC,USD,3255.37,3319.83,3227.4,3232.51,45102.51,148182655.41
1545004800000,BTC,USD,3548.19,3639.65,3239.06,3255.37,119831.24,412454521.38
1545091200000,BTC,USD,3715.85,3727.99,3481.46,3548.19,91609.53,327807644.75
1545177600000,BTC,USD,3736.54,3969.7,3693.57,3715.85,163016.15,620695447.39
1545264000000,BTC,USD,4137.66,4225.52,3712.82,3736.54,180025.9,724855205.51
1545350400000,BTC,USD,3898.81,4247.71,3831.2,4137.66,128508.13,516656937.13
1545436800000,BTC,USD,4045.24,4060.34,3849.23,3898.81,63672.55,250085915.72
1545523200000,BTC,USD,4007.63,4117.65,3972.39,4045.24,58294.45,235997621.23
1545609600000,BTC,USD,4081.95,4303.37,4006.6,4007.63,109869.44,459290147.24
1545696000000,BTC,USD,3834.73,4094.61,3734.85,4081.95,95683.55,367200910.64
1545782400000,BTC,USD,3848.78,3923.93,3746.86,3834.73,68965.06,263439573.84
1545868800000,BTC,USD,3646.09,3888.92,3622.39,3848.78,81652.77,305729129.14
1545955200000,BTC,USD,3947.86,4007.71,3628.43,3646.09,92882.41,353705007.17
1546041600000,BTC,USD,3797.06,4004.14,3774.38,3947.86,54702.16,214891355.42
1546128000000,BTC,USD,3896.21,3925.18,3760.8,3797.06,49797.04,191958416.81
1546214400000,BTC,USD,3747.39,3904.28,3701.48,3896.21,54221.49,206190463.74
1546300800000,BTC,USD,3880.15,3938.75,3696.94,3747.39,45104.29,170598307.96
1546387200000,BTC,USD,3961.01,3989.59,3826.29,3880.15,54034.73,210854603.84
1546473600000,BTC,USD,3835.86,3965.52,3778.76,3961.01,45585.19,176488072.06
1546560000000,BTC,USD,3874.06,3901.65,3783.88,3835.86,44398.9,170507611.15
1546646400000,BTC,USD,3855.39,3926.92,3841.13,3874.06,35766.65,139438510.18
1546732800000,BTC,USD,4102.85,4145.16,3829.09,3855.39,58878.99,236298043.75
1546819200000,BTC,USD,4050.4,4132.62,4001.35,4102.85,51541.23,209289368.14
1546905600000,BTC,USD,4040.75,4156.16,3990.34,4050.4,65973.5,268091045.44
1546992000000,BTC,USD,4048.34,4092.91,4013.0,4040.75,55130.13,223639028.92
1547078400000,BTC,USD,3668.15,4085.09,3631.07,4048.34,108277.01,412522198.13
1547164800000,BTC,USD,3669.2,3729.69,3616.41,3668.15,63070.18,231465488.1
1547251200000,BTC,USD,3664.38,3692.12,3611.2,3669.2,28343.28,103912541.38
1547337600000,BTC,USD,3551.24,3675.2,3528.24,3664.38,45682.73,164125048.97
1547424000000,BTC,USD,3703.9,3748.88,3544.53,3551.24,56099.99,204793029.92
1547510400000,BTC,USD,3621.24,3724.3,3590.49,3703.9,54154.65,198582447.53
1547596800000,BTC,USD,3643.99,3704.37,3611.38,3621.24,53843.55,196211595.54
1547683200000,BTC,USD,3685.3,3695.28,3586.92,3643.99,46181.32,168287506.1
1547769600000,BTC,USD,3648.05,3685.39,3620.44,3685.3,32418.99,118317804.97
1547856000000,BTC,USD,3729.78,3799.62,3643.01,3648.05,38341.35,143238228.4
1547942400000,BTC,USD,3567.73,3754.65,3529.25,3729.78,49198.37,177628515.93
1548028800000,BTC,USD,3571.92,3599.83,3535.19,3567.73,36101.4,129000924.6
1548115200000,BTC,USD,3602.04,3635.69,3473.77,3571.92,53586.91,191355241.84
1548201600000,BTC,USD,3572.05,3631.15,3543.96,3602.04,37910.4,135864247.56
1548288000000,BTC,USD,3598.52,3616.33,3546.5,3572.05,31630.57,113155246.95
1548374400000,BTC,USD,3582.89,3607.43,3539.41,3598.52,32679.69,116674680.78
1548460800000,BTC,USD,3596.5,3676.4,3578.62,3582.89,29201.1,105927045.55
1548547200000,BTC,USD,3565.08,3605.99,3511.29,3596.5,26261.48,93766117.67
1548633600000,BTC,USD,3453.42,3567.56,3402.56,3565.08,59700.11,206309738.62
1548720000000,BTC,USD,3418.25,3463.2,3369.19,3453.42,46304.1,158106687.0
1548806400000,BTC,USD,3467.21,3488.91,3395.94,3418.25,42399.63,146422486.1
1548892800000,BTC,USD,3434.13,3499.78,3422.83,3467.21,37365.7,128773893.15
1548979200000,BTC,USD,3461.63,3478.55,3398.96,3434.13,41976.43,144476056.44
1549065600000,BTC,USD,3508.68,3519.14,3441.21,3461.63,27103.48,94144187.11
1549152000000,BTC,USD,3449.62,3514.43,3424.42,3508.68,23044.88,79591219.11
1549238400000,BTC,USD,3431.24,3470.8,3429.21,3449.62,23959.61,82280894.52
1549324800000,BTC,USD,3447.66,3447.88,3415.67,3431.24,24459.49,84042727.18
1549411200000,BTC,USD,3394.89,3459.33,3362.24,3447.66,44281.79,150408587.85
1549497600000,BTC,USD,3375.33,3406.54,3369.1,3394.89,28811.35,97390901.92
1549584000000,BTC,USD,3660.03,3735.1,3363.32,3375.33,89444.22,317023029.42
1549670400000,BTC,USD,3652.26,3673.71,3616.11,3660.03,25880.75,94200588.34
1549756800000,BTC,USD,3685.14,3689.32,3611.46,3652.26,30046.26,109365095.98
1549843200000,BTC,USD,3611.34,3688.59,3608.18,3685.14,40461.58,146354074.39
1549929600000,BTC,USD,3617.41,3648.67,3574.22,3611.34,45717.05,164816438.53
1550016000000,BTC,USD,3605.87,3655.89,3590.01,3617.41,40664.15,146822348.57
1550102400000,BTC,USD,3588.72,3619.7,3567.39,3605.87,32779.35,117804856.32
1550188800000,BTC,USD,3593.49,3640.65,3575.95,3588.72,36251.38,130398989.33
1550275200000,BTC,USD,3617.24,3639.75,3592.04,3593.49,24003.59,86973822.79
1550361600000,BTC,USD,3670.92,3706.17,3608.18,3617.24,36849.32,134218331.16
1550448000000,BTC,USD,3912.57,3952.44,3661.42,3670.92,98728.99,376203280.43
1550534400000,BTC,USD,3924.24,4010.91,3882.52,3912.57,74127.62,292137057.43
1550620800000,BTC,USD,3974.05,3992.31,3898.91,3924.24,53048.95,209282292.49
1550707200000,BTC,USD,3937.04,4026.54,3900.28,3974.05,47433.87,187314178.85
1550793600000,BTC,USD,3983.53,3996.15,3917.66,3937.04,43006.55,170405341.81
1550880000000,BTC,USD,4149.09,4192.39,3948.48,3983.53,57002.5,231174632.28
1550966400000,BTC,USD,3771.62,4221.62,3755.38,4149.09,80391.72,319071544.94
1551052800000,BTC,USD,3845.51,3885.06,3771.53,3771.62,48406.42,185036583.31
1551139200000,BTC,USD,3817.88,3852.66,3791.9,3845.51,33253.08,126868886.89
1551225600000,BTC,USD,3830.72,3851.84,3699.53,3817.88,46011.1,175069054.72
1551312000000,BTC,USD,3823.37,3909.86,3798.0,3830.72,44353.45,170646670.66
1551398400000,BTC,USD,3831.48,3866.12,3822.67,3823.37,26522.34,101774924.71
1551484800000,BTC,USD,3842.94,3846.38,3790.74,3831.48,19283.71,73894412.97
1551571200000,BTC,USD,3812.31,3853.28,3788.04,3842.94,16769.86,64065044.79
1551657600000,BTC,USD,3731.28,3831.01,3705.14,3812.31,39278.22,147245676.28
1551744000000,BTC,USD,3874.18,3893.52,3720.49,3731.28,43262.3,165062256.27
1551830400000,BTC,USD,3874.98,3916.29,3839.39,3874.18,33536.95,129520549.49
1551916800000,BTC,USD,3882.61,3911.76,3853.2,3874.98,37619.38,146201726.67
1552003200000,BTC,USD,3868.02,3932.02,3804.98,3882.61,39428.25,153405087.61
1552089600000,BTC,USD,3947.74,3975.25,3860.66,3868.02,27600.01,108370246.04
1552176000000,BTC,USD,3929.84,3948.21,3897.82,3947.74,17404.16,68252920.53
1552262400000,BTC,USD,3874.89,3941.99,3849.45,3929.84,32708.55,126998648.6
1552348800000,BTC,USD,3888.57,3904.7,3827.23,3874.89,33655.37,130291591.54
1552435200000,BTC,USD,3878.44,3898.25,3853.06,3888.57,27922.69,108286926.77
1552521600000,BTC,USD,3881.44,3922.21,3825.03,3878.44,34554.38,133931876.12
1552608000000,BTC,USD,3927.08,3935.1,3876.17,3881.44,32133.02,125588541.02
1552694400000,BTC,USD,4027.01,4069.11,3924.98,3927.08,41319.81,166216280.52
1552780800000,BTC,USD,3998.0,4030.38,3970.97,4027.01,17033.6,68146133.16
1552867200000,BTC,USD,3988.85,4038.99,3964.31,3998.0,27416.92,109428478.54
1552953600000,BTC,USD,4024.14,4032.04,3972.47,3988.85,29686.2,118919147.36
1553040000000,BTC,USD,4056.75,4064.95,3995.49,4024.14,36862.09,148490744.9
1553126400000,BTC,USD,3996.93,4082.29,3953.53,4056.75,44251.52,178077036.22
1553212800000,BTC,USD,4000.84,4018.21,3984.0,3996.93,22671.75,90726555.79
1553299200000,BTC,USD,4007.21,4019.36,3982.47,4000.84,18486.22,74094017.72
1553385600000,BTC,USD,3994.11,4010.3,3970.35,4007.21,16111.98,64375076.75
1553472000000,BTC,USD,3924.55,4005.29,3887.68,3994.11,34191.84,136398998.18
1553558400000,BTC,USD,3942.22,3943.2,3902.52,3924.55,23873.14,93805733.55
1553644800000,BTC,USD,4045.98,4054.32,3932.79,3942.22,37132.4,149005782.26
1553731200000,BTC,USD,4036.45,4046.44,4014.69,4045.98,25343.13,102296341.19
1553817600000,BTC,USD,4111.38,4122.89,4031.22,4036.45,41843.31,170915132.77
1553904000000,BTC,USD,4118.13,4146.88,4066.87,4111.38,24906.26,102400533.82
1553990400000,BTC,USD,4112.69,4129.43,4098.79,4118.13,13792.73,56727425.19
1554076800000,BTC,USD,4151.32,4164.33,4082.2,4112.69,36921.55,152826759.02
1554163200000,BTC,USD,4906.93,5104.42,4147.7,4151.32,172473.31,814748125.73
1554249600000,BTC,USD,4976.59,5335.7,4831.59,4906.93,159843.43,809158339.99
1554336000000,BTC,USD,4913.36,5071.98,4799.77,4976.59,74544.88,370109007.61
1554422400000,BTC,USD,5047.23,5074.13,4897.61,4913.36,56130.82,280722247.3
1554508800000,BTC,USD,5057.25,5240.19,4938.0,5047.23,54180.91,275839573.8
1554595200000,BTC,USD,5201.16,5266.04,5044.28,5057.25,47200.43,243329883.48
1554681600000,BTC,USD,5294.09,5347.88,5141.23,5201.16,69803.56,366577921.18
1554768000000,BTC,USD,5201.3,5294.09,5159.13,5294.09,48552.25,253577595.39
1554854400000,BTC,USD,5318.6,5460.94,5178.61,5201.3,65813.81,349643837.46
1554940800000,BTC,USD,5048.56,5343.66,4987.65,5318.6,69622.86,356811374.12
1555027200000,BTC,USD,5081.5,5118.61,4927.62,5048.56,43762.94,220667543.59
1555113600000,BTC,USD,5080.66,5128.96,5056.19,5081.5,23342.24,118956124.9
1555200000000,BTC,USD,5165.59,5186.82,5031.2,5080.66,21193.03,108148233.81
1555286400000,BTC,USD,5037.27,5195.31,4969.31,5165.59,40402.46,205867031.18
1555372800000,BTC,USD,5212.81,5232.03,5029.16,5037.27,40370.0,207311534.31
1555459200000,BTC,USD,5236.26,5270.76,5190.81,5212.81,37225.68,194699629.15
1555545600000,BTC,USD,5289.75,5317.78,5232.99,5236.26,35511.12,187312150.44
1555632000000,BTC,USD,5295.53,5353.01,5212.18,5289.75,30109.97,158699049.55
1555718400000,BTC,USD,5326.18,5366.6,5274.45,5295.53,23214.49,123577001.56
1555804800000,BTC,USD,5305.74,5348.59,5232.77,5326.18,25466.81,134681237.4
1555891200000,BTC,USD,5394.67,5444.76,5265.73,5305.74,45346.65,242498187.66
1555977600000,BTC,USD,5539.1,5626.83,5371.31,5394.67,66448.85,368556751.66
1556064000000,BTC,USD,5454.58,5633.0,5390.98,5539.1,61651.16,339093001.24
1556150400000,BTC,USD,5162.67,5521.61,5031.69,5454.58,70755.72,374798664.87
1556236800000,BTC,USD,5234.09,5361.94,5104.18,5162.67,70191.21,366773360.18
1556323200000,BTC,USD,5229.48,5282.97,5192.45,5234.09,21692.98,113430273.96
1556409600000,BTC,USD,5272.45,5313.7,5218.42,5233.47,25294.87,133564683.52
1556496000000,BTC,USD,5237.96,5299.51,5162.81,5272.45,31947.44,167206787.27
1556582400000,BTC,USD,5350.64,5372.23,5224.64,5237.96,32567.46,172540196.26
1556668800000,BTC,USD,5389.54,5417.17,5346.7,5350.64,27410.57,147345369.73
1556755200000,BTC,USD,5500.72,5531.15,5387.29,5389.54,35089.37,192256639.91
1556841600000,BTC,USD,5753.38,5891.9,5484.78,5500.72,75434.86,432335283.61
1556928000000,BTC,USD,5840.08,5901.36,5596.15,5753.38,45628.34,263390273.68
1557014400000,BTC,USD,5794.14,5849.5,5709.74,5840.08,25481.48,147662500.76
1557100800000,BTC,USD,5748.17,5823.67,5644.15,5794.14,34979.71,200316185.51
1557187200000,BTC,USD,5819.57,6031.54,5748.17,5748.17,59556.89,353043890.95
1557273600000,BTC,USD,5998.71,6032.25,5753.08,5819.57,40967.62,241917027.36
1557360000000,BTC,USD,6171.96,6194.91,5988.65,5998.71,51005.27,310336580.16
1557446400000,BTC,USD,6358.29,6444.57,6133.21,6171.96,68160.13,430403405.14
1557532800000,BTC,USD,7191.36,7394.94,6357.02,6358.29,135248.42,933141315.95
1557619200000,BTC,USD,6977.63,7541.61,6793.21,7191.36,142892.25,1023203366.46
1557705600000,BTC,USD,7806.36,8127.75,6873.42,6977.63,149082.57,1140302646.6
1557792000000,BTC,USD,7980.13,8297.02,7631.34,7806.36,122383.06,976094121.29
1557878400000,BTC,USD,8183.83,8263.29,7849.92,7980.13,86162.62,694202804.31
1557964800000,BTC,USD,7874.11,8352.25,7679.05,8183.83,95341.68,762104107.69
1558051200000,BTC,USD,7371.96,7930.98,6668.67,7874.11,141482.93,1023961962.83
1558137600000,BTC,USD,7266.08,7491.67,7213.72,7371.96,41327.89,303317486.98
1558224000000,BTC,USD,8193.14,8281.66,7257.26,7266.08,91218.12,723011166.2
1558310400000,BTC,USD,7998.29,8193.14,7591.85,8193.14,80672.83,637617163.27
1558396800000,BTC,USD,7947.93,8102.32,7807.77,7998.29,45005.01,357803946.85
1558483200000,BTC,USD,7626.89,8033.76,7533.66,7947.93,54216.74,424501866.33
1558569600000,BTC,USD,7876.5,7971.26,7478.74,7626.89,50121.07,386766321.19
1558656000000,BTC,USD,7996.4,8165.45,7801.57,7876.5,51604.15,413162746.86
1558742400000,BTC,USD,8059.13,8140.82,7948.68,7996.4,22294.65,179206342.03
1558828800000,BTC,USD,8726.23,8779.0,7894.53,8059.13,57648.95,483663699.62
1558915200000,BTC,USD,8785.17,8931.53,8668.46,8726.23,57692.17,507164714.76
1559001600000,BTC,USD,8718.85,8818.71,8562.2,8785.17,41445.13,360752199.95
1559088000000,BTC,USD,8664.56,8760.48,8444.1,8718.85,44056.71,380343928.72
1559174400000,BTC,USD,8276.25,9065.89,8027.21,8664.56,95189.06,815525590.67
1559260800000,BTC,USD,8550.67,8570.78,8116.0,8276.25,60143.23,502056527.56
1559347200000,BTC,USD,8555.87,8619.21,8459.65,8550.67,26884.15,229736992.43
1559433600000,BTC,USD,8737.91,8819.9,8547.48,8555.87,25506.14,221708083.06
1559520000000,BTC,USD,8114.49,8740.24,8073.18,8737.91,63486.15,534972187.72
1559606400000,BTC,USD,7677.47,8114.49,7463.94,8114.49,103552.9,809220381.24
1559692800000,BTC,USD,7791.29,7917.14,7591.88,7677.47,49771.65,387021977.02
1559779200000,BTC,USD,7807.36,7872.1,7467.52,7791.29,44397.47,342084400.02
1559865600000,BTC,USD,8002.63,8127.63,7767.37,7807.36,51105.14,407241297.23
1559952000000,BTC,USD,7933.78,8058.91,7796.46,8002.63,23469.94,186055499.51
1560038400000,BTC,USD,7643.44,7964.75,7535.9,7933.78,30301.73,234551796.21
1560124800000,BTC,USD,8021.0,8061.5,7533.53,7643.44,43154.98,339520552.04
1560211200000,BTC,USD,7917.32,8049.78,7724.58,8021.0,35850.45,282632009.38
1560297600000,BTC,USD,8174.14,8250.0,7834.57,7917.32,49460.34,399065678.38
1560384000000,BTC,USD,8235.57,8326.2,8053.65,8174.14,38536.25,315594036.87
1560470400000,BTC,USD,8693.96,8724.42,8180.39,8235.57,50383.98,424131990.84
1560556800000,BTC,USD,8853.56,8905.14,8621.48,8693.96,38140.15,333656492.38
1560643200000,BTC,USD,8979.18,9372.89,8800.96,8853.56,84289.2,767025702.52
1560729600000,BTC,USD,9336.01,9468.85,8976.99,8979.18,65486.04,606269265.79
1560816000000,BTC,USD,9081.71,9357.22,8941.83,9336.01,51829.13,473016555.83
1560902400000,BTC,USD,9280.54,9313.18,9045.47,9081.71,32012.68,293070485.25
1560988800000,BTC,USD,9536.85,9600.28,9219.81,9280.54,45144.43,424436854.57
1561075200000,BTC,USD,10218.87,10230.86,9536.85,9536.85,77828.7,765543626.6
1561161600000,BTC,USD,10689.54,11207.97,10086.32,10218.87,115793.98,1240328392.49
1561248000000,BTC,USD,10855.99,11285.51,10513.81,10689.54,57082.02,619160985.99
1561334400000,BTC,USD,11035.74,11100.92,10555.71,10855.99,52118.36,565444720.43
1561420800000,BTC,USD,11740.34,11778.22,10992.37,11035.74,84123.73,953962631.15
1561507200000,BTC,USD,12913.28,13826.76,11679.1,11740.34,211449.88,2685872365.1
1561593600000,BTC,USD,11154.09,13314.05,10335.34,12913.28,202428.68,2345027203.81
1561680000000,BTC,USD,12355.06,12433.0,10772.75,11154.09,120700.97,1408438810.31
1561766400000,BTC,USD,11884.1,12362.9,11352.27,12355.06,81875.16,968516834.6
1561852800000,BTC,USD,10769.05,12200.02,10677.83,11884.1,80893.36,917158052.37
1561939200000,BTC,USD,10591.87,11207.0,10006.43,10769.05,115739.97,1225129699.57
1562025600000,BTC,USD,10844.13,10927.6,9678.1,10591.87,120994.95,1239524970.43
1562112000000,BTC,USD,11981.61,12009.59,10841.91,10844.13,115565.16,1313585829.89
1562198400000,BTC,USD,11156.52,12055.11,11067.68,11981.61,71141.03,831236841.56
1562284800000,BTC,USD,10993.25,11435.38,10787.94,11156.52,66066.75,734424868.07
1562371200000,BTC,USD,11248.94,11709.27,10985.4,10993.25,48172.2,549769169.13
1562457600000,BTC,USD,11474.28,11605.43,11109.42,11248.94,36847.21,418161890.29
1562544000000,BTC,USD,12296.16,12386.28,11339.02,11474.28,63847.27,762033323.29
1562630400000,BTC,USD,12567.02,12808.06,12117.31,12296.16,79607.47,993891866.34
1562716800000,BTC,USD,12099.12,13183.73,11569.94,12567.02,124523.09,1554955347.89
1562803200000,BTC,USD,11343.12,12099.91,11002.39,12099.12,102929.11,1185222449.66
1562889600000,BTC,USD,11797.37,11931.91,11096.61,11343.12,55994.89,647690095.15
1562976000000,BTC,USD,11363.97,11835.87,10827.53,11797.37,59187.84,668325183.28
1563062400000,BTC,USD,10204.41,11447.92,10118.85,11363.97,76310.21,814667763.32
1563148800000,BTC,USD,10850.26,11070.18,9877.02,10204.41,92742.77,965178341.63
1563235200000,BTC,USD,9423.44,11025.76,9366.82,10850.26,113537.84,1140137759.72
1563321600000,BTC,USD,9696.15,9982.24,9086.51,9423.44,101032.08,965256823.84
1563408000000,BTC,USD,10638.35,10776.54,9292.61,9696.15,102443.07,1033842556.65
1563494400000,BTC,USD,10532.94,10757.41,10135.16,10638.35,62995.33,658190962.53
1563580800000,BTC,USD,10759.42,11094.32,10379.19,10532.94,56766.57,608954333.23
1563667200000,BTC,USD,10586.71,10833.99,10329.89,10759.42,38379.41,405339891.1
1563753600000,BTC,USD,10325.87,10676.6,10072.07,10586.71,50574.02,524442852.25
1563840000000,BTC,USD,9854.15,10328.44,9820.61,10325.87,52754.02,529438124.08
1563926400000,BTC,USD,9772.14,9920.54,9535.78,9854.15,54750.78,531611909.42
1564012800000,BTC,USD,9882.43,10184.43,9744.7,9772.14,40285.56,403576364.36
1564099200000,BTC,USD,9847.45,9890.05,9668.52,9882.43,31960.31,312717110.04
1564185600000,BTC,USD,9478.32,10202.95,9310.47,9847.45,53081.42,512612117.07
1564272000000,BTC,USD,9531.77,9591.52,9135.64,9478.32,28313.55,267243770.14
